First name,Surname,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Year,Rank swim,Time after cycle,Rank after cycle,Rank final,Rank cycle,Rank run,Gain cycle,Gain run,b_pred,Tranche
Solveig,Varberg,Female,Norway,2.4166666666666665,0.21666666666666667,11.2,0.16666666666666666,7.766666666666667,21.766666666666666,White,1000 meters,2009,100.0,13.616666666666665,100.0,100.0,100.0,96.3963963963964,0.0,0.0,88.48780621702268,100.0
Joanne,Furu,Female,United States ,0.9580555555555555,0.25333333333333335,10.796111111111111,0.11333333333333333,6.7125,18.83277777777778,White,1000 meters,2015,99.58847736625515,11.754166666666666,100.0,98.76543209876543,100.0,92.5925925925926,0.4115226337448519,-1.2345679012345698,85.33504152497127,100.0
Lindha,Stolpe,Female,Sweden ,0.9308333333333333,0.16361111111111112,10.5525,0.2633333333333333,7.626666666666667,19.53638888888889,White,1000 meters,2015,97.94238683127571,11.483333333333334,99.58847736625515,100.0,99.58847736625515,98.35390946502058,1.646090534979436,0.4115226337448519,90.11028161410178,95.0
Lisa,Irlam,Female,United Kingdom,1.2594444444444444,0.1338888888888889,10.489722222222222,0.09861111111111111,6.788055555555555,18.769444444444446,White,1000 meters,2013,41.3953488372093,11.749166666666666,98.13953488372093,97.67441860465115,100.0,87.44186046511628,56.74418604651163,-0.4651162790697754,81.06588169777851,95.0
Julie,Zeitlinger,Female,AUT,1.3764,5.966666666666667,10.45917611111111,0.7333333333333333,7.396103888888889,19.35333611111111,White,1000 meters,2022,48.8479262672811,11.835576111111111,99.53917050691244,99.53917050691244,100.0,96.7741935483871,50.69124423963134,0.0,88.80094158966277,95.0
Susi Hjorth,Baerentzen,Female,Denmark,1.6755555555555555,0.24027777777777778,10.448055555555555,0.09472222222222222,6.844444444444444,19.3025,White,1000 meters,2013,94.88372093023256,12.12361111111111,100.0,99.06976744186046,99.53488372093024,90.69767441860465,5.116279069767444,-0.9302325581395365,83.76444760861273,100.0
Kok-Chuan ,Lim,Male,Singapore,1.6091666666666666,0.24472222222222223,10.440555555555555,0.08333333333333333,7.2813888888888885,19.659166666666668,White,1000 meters,2009,91.8918918918919,12.049722222222222,99.09909909909909,98.64864864864865,99.54954954954955,89.1891891891892,7.20720720720719,-0.45045045045044674,82.51414680050421,95.0
Lone,Tandberg,Female,Norway,1.8227777777777778,0.08972222222222222,10.356388888888889,0.09916666666666667,6.891666666666667,19.259722222222223,White,1000 meters,2009,96.3963963963964,12.179166666666667,99.54954954954955,98.1981981981982,99.09909909909909,80.63063063063063,3.1531531531531556,-1.3513513513513544,75.42042624338852,95.0
Terje,Berge,Male,Norway,1.073611111111111,0.09722222222222222,10.350833333333334,0.13055555555555556,7.555555555555555,19.20722222222222,White,1000 meters,2014,14.5748987854251,11.424444444444445,98.78542510121457,99.59514170040485,100.0,98.78542510121457,84.21052631578947,0.8097165991902813,90.4679412968909,95.0
Mark Sharky,Smoothy,Male,Australia,0.6336111111111111,0.25916666666666666,10.345555555555556,0.2619444444444444,7.563888888888889,19.06361111111111,White,1000 meters,2015,42.38683127572017,10.979166666666668,99.1769547325103,99.1769547325103,99.1769547325103,97.94238683127571,56.79012345679013,0.0,89.76919303630673,95.0
Nathalie ,Puaschitz,Female,Germany,1.6066666666666667,0.16,10.33,0.058888888888888886,6.093055555555556,18.24861111111111,White,1000 meters,2009,91.44144144144144,11.936666666666667,98.64864864864865,93.24324324324324,98.64864864864865,41.44144144144144,7.207207207207205,-5.4054054054054035,42.93865316606932,95.0
Leif,Abrahamsen,Male,Norway,1.4194444444444445,0.11277777777777778,10.293333333333333,0.11083333333333334,5.773888888888889,17.709722222222222,White,1000 meters,2014,82.99595141700405,11.712777777777777,100.0,95.1417004048583,99.59514170040485,56.68016194331984,17.00404858299595,-4.858299595141702,55.56919417933561,100.0
